-9.095069  -8.391755   28.648724
-9.088036  -8.377463   28.648651
-9.080930  -8.363191   28.648390
-9.073752  -8.348940   28.647940
-9.066504  -8.334712   28.647301
-9.059187  -8.320509   28.646475
-9.051800  -8.306332   28.645462
-9.044345  -8.292183   28.644262
-9.036823  -8.278064   28.642876
-9.029236  -8.263976   28.641302
-9.021584  -8.249922   28.639544
-9.013867  -8.235902   28.637598
-9.006087  -8.221919   28.635468
-8.998245  -8.207974   28.633154
-8.990342  -8.194069   28.630655
-8.982379  -8.180205   28.627974
-8.974358  -8.166385   28.625111
-8.966278  -8.152608   28.622065
-8.958141  -8.138878   28.618837
-8.949948  -8.125196   28.615429
-8.941701  -8.111562   28.611841
-8.933399  -8.097980   28.608074
-8.925045  -8.084450   28.604128
-8.916639  -8.070973   28.600004
-8.908183  -8.057552   28.595703
-8.899676  -8.044188   28.591227
-8.891122  -8.030883   28.586575
-8.882520  -8.017636   28.581747
-8.873871  -8.004452   28.576746
-8.865176  -7.991329   28.571571
-8.856438  -7.978271   28.566225
-8.847656  -7.965278   28.560707
-8.838833  -7.952352   28.555019
-8.829968  -7.939494   28.549162
-8.821064  -7.926705   28.543137
-8.812120  -7.913988   28.536943
-8.803139  -7.901342   28.530584
-8.794121  -7.888770   28.524059
-8.785068  -7.876272   28.517370
-8.775980  -7.863851   28.510517
-8.766859  -7.851506   28.503502
-8.757706  -7.839241   28.496326
-8.748521  -7.827055   28.488991
-8.739306  -7.814950   28.481495
-8.730062  -7.802927   28.473841
-8.720791  -7.790987   28.466030
-8.711493  -7.779132   28.458065
-8.702168  -7.767362   28.449945
-8.692821  -7.755679   28.441671
-8.683449  -7.744084   28.433245
-8.674055  -7.732578   28.424667
-8.664640  -7.721162   28.415941
-8.655206  -7.709836   28.407066
-8.645752  -7.698604   28.398045
-8.636280  -7.687464   28.388876
-8.626792  -7.676418   28.379564
-8.617289  -7.665467   28.370108
-8.607770  -7.654612   28.360510
-8.598238  -7.643854   28.350771
-8.588695  -7.633194   28.340893
-8.579140  -7.622633   28.330875
-8.569574  -7.612172   28.320723
-8.560000  -7.601811   28.310434
-8.550419  -7.591552   28.300011
-8.540831  -7.581396   28.289455
-8.531237  -7.571342   28.278769
-8.521638  -7.561392   28.267952
-8.512035  -7.551548   28.257006
-8.502431  -7.541808   28.245934
-8.492825  -7.532175   28.234735
-8.483218  -7.522649   28.223412
-8.473613  -7.513231   28.211966
-8.464009  -7.503922   28.200397
-8.454409  -7.494722   28.188709
-8.444812  -7.485632   28.176903
-8.435220  -7.476653   28.164980
-8.425634  -7.467784   28.152941
-8.416056  -7.459028   28.140787
-8.406486  -7.450384   28.128521
-8.396925  -7.441853   28.116142
-8.387374  -7.433436   28.103655
-8.377834  -7.425133   28.091059
-8.368307  -7.416945   28.078356
-8.358793  -7.408873   28.065548
-8.349294  -7.400916   28.052635
-8.339810  -7.393075   28.039621
-8.330343  -7.385352   28.026506
-8.320893  -7.377746   28.013292
-8.311461  -7.370258   27.999979
-8.302050  -7.362888   27.986570
-8.292658  -7.355637   27.973066
-8.283288  -7.348505   27.959469
-8.273940  -7.341492   27.945780
-8.264616  -7.334599   27.932001
-8.255316  -7.327826   27.918133
-8.246041  -7.321175   27.904179
-8.236793  -7.314643   27.890139
-8.227571  -7.308234   27.876015
-8.218378  -7.301946   27.861807
-8.209214  -7.295779   27.847519
-8.200080  -7.289735   27.833151
-8.190976  -7.283814   27.818705
-8.181905  -7.278015   27.804182
-8.172866  -7.272339   27.789585
-8.163860  -7.266787   27.774916
-8.154890  -7.261357   27.760174
-8.145955  -7.256052   27.745361
-8.137056  -7.250870   27.730482
-8.128195  -7.245812   27.715534
-8.119371  -7.240878   27.700521
-8.110586  -7.236069   27.685444
-8.101841  -7.231384   27.670305
-8.093137  -7.226823   27.655106
-8.084474  -7.222388   27.639847
-8.075852  -7.218077   27.624529
-8.067275  -7.213892   27.609156
-8.058742  -7.209831   27.593727
-8.050253  -7.205895   27.578245
-8.041809  -7.202084   27.562712
-8.033412  -7.198399   27.547129
-8.025062  -7.194839   27.531498
-8.016759  -7.191403   27.515820
-8.008506  -7.188094   27.500095
-8.000301  -7.184909   27.484327
-7.992147  -7.181849   27.468517
-7.984045  -7.178916   27.452667
-7.975993  -7.176106   27.436777
-7.967994  -7.173423   27.420849
-7.960049  -7.170864   27.404884
-7.952157  -7.168430   27.388885
-7.944320  -7.166121   27.372852
-7.936538  -7.163938   27.356789
-7.928812  -7.161879   27.340694
-7.921142  -7.159944   27.324572
-7.913530  -7.158134   27.308420
-7.905976  -7.156449   27.292244
-7.898481  -7.154888   27.276043
-7.891045  -7.153451   27.259819
-7.883669  -7.152139   27.243574
-7.876354  -7.150950   27.227310
-7.869100  -7.149885   27.211027
-7.861908  -7.148944   27.194727
-7.854778  -7.148126   27.178411
-7.847712  -7.147431   27.162083
-7.840709  -7.146860   27.145741
-7.833770  -7.146411   27.129389
-7.826897  -7.146085   27.113028
-7.820088  -7.145881   27.096659
-7.813346  -7.145800   27.080282
-7.806671  -7.145840   27.063900
-7.800063  -7.146002   27.047514
-7.793522  -7.146285   27.031126
-7.787049  -7.146690   27.014738
-7.780646  -7.147215   26.998350
-7.774312  -7.147861   26.981964
-7.768047  -7.148628   26.965582
-7.761853  -7.149515   26.949205
-7.755729  -7.150522   26.932835
-7.749677  -7.151648   26.916471
-7.743697  -7.152894   26.900118
-7.737789  -7.154258   26.883774
-7.731953  -7.155741   26.867441
-7.726191  -7.157342   26.851122
-7.720502  -7.159061   26.834818
